method,dataset,seed,n_evals,training_done,SR@5,SR@10,SR@15,AvgT,hDCG,reward
MCMIPL,LAST_FM_STAR,0,11,True,0.417,0.74875,0.8405000000000001,7.373750000000001,0.34144002139643526,0.2226575
MCMIPL,LAST_FM_STAR,1,11,True,0.42874999999999996,0.75425,0.84425,7.28725,0.34649056293822195,0.21741749999999999
MCMIPL,LAST_FM_STAR,2,11,True,0.40549999999999997,0.74425,0.83825,7.462000000000001,0.33708039134653023,0.21819249999999996
MCMIPL,YELP_STAR,0,2,False,0.17560000000000003,0.30920000000000003,0.41879999999999995,11.6148,0.1695648814642536,-0.8780720000000002
